,location,total_sqft,bath,price,bhk
70,7th Phase JP Nagar,1680.0,3.0,120.0,3
71,7th Phase JP Nagar,1180.0,2.0,72.0,2
72,7th Phase JP Nagar,1270.0,2.0,83.0,2
73,7th Phase JP Nagar,3300.0,4.0,150.0,4
74,7th Phase JP Nagar,2503.0,4.0,188.0,4
75,7th Phase JP Nagar,2200.0,3.0,190.0,3
76,7th Phase JP Nagar,1575.0,2.0,110.0,3
77,7th Phase JP Nagar,1850.0,3.0,140.0,3
78,7th Phase JP Nagar,1575.0,2.0,120.0,3
79,7th Phase JP Nagar,1850.0,3.0,150.0,3
80,7th Phase JP Nagar,1680.0,3.0,120.0,3
81,7th Phase JP Nagar,1175.0,2.0,82.5,2
82,7th Phase JP Nagar,3300.0,4.0,160.0,3
83,7th Phase JP Nagar,2200.0,4.0,105.0,3
84,7th Phase JP Nagar,1215.0,2.0,90.0,2
85,7th Phase JP Nagar,1050.0,2.0,75.0,2
86,7th Phase JP Nagar,1130.0,2.0,73.0,2
87,7th Phase JP Nagar,1050.0,2.0,50.0,2
88,7th Phase JP Nagar,1275.0,2.0,87.0,2
89,7th Phase JP Nagar,1650.0,3.0,110.0,3
90,7th Phase JP Nagar,1680.0,3.0,117.0,3
91,7th Phase JP Nagar,1850.0,3.0,150.0,3
92,7th Phase JP Nagar,1236.0,2.0,61.33,2
93,7th Phase JP Nagar,1000.0,2.0,53.0,2
94,7th Phase JP Nagar,1680.0,3.0,125.0,3
95,7th Phase JP Nagar,1675.0,2.0,135.0,3
96,7th Phase JP Nagar,1187.0,2.0,59.0,2
97,7th Phase JP Nagar,1850.0,3.0,155.0,3
98,7th Phase JP Nagar,1000.0,2.0,61.0,2
99,7th Phase JP Nagar,1650.0,3.0,110.0,3
100,7th Phase JP Nagar,1200.0,2.0,62.5,2
101,7th Phase JP Nagar,1000.0,2.0,70.65,2
102,7th Phase JP Nagar,1080.0,2.0,75.0,2
103,7th Phase JP Nagar,1680.0,3.0,125.0,3
104,7th Phase JP Nagar,1120.0,2.0,65.0,2
105,7th Phase JP Nagar,1100.0,3.0,60.0,2
106,7th Phase JP Nagar,1790.0,3.0,120.0,3
107,7th Phase JP Nagar,1680.0,3.0,117.0,3
108,7th Phase JP Nagar,1050.0,2.0,77.0,2
109,7th Phase JP Nagar,1050.0,2.0,75.0,2
110,7th Phase JP Nagar,1040.0,2.0,75.0,2
111,7th Phase JP Nagar,1800.0,3.0,130.0,3
112,7th Phase JP Nagar,1050.0,2.0,68.0,2
113,7th Phase JP Nagar,1000.0,2.0,60.0,2
114,7th Phase JP Nagar,1680.0,3.0,125.0,3
115,7th Phase JP Nagar,1050.0,2.0,77.47,2
116,7th Phase JP Nagar,1270.0,2.0,80.0,2
117,7th Phase JP Nagar,1680.0,3.0,122.0,3
118,7th Phase JP Nagar,1130.0,2.0,85.0,2
119,7th Phase JP Nagar,1680.0,3.0,130.0,3
120,7th Phase JP Nagar,2980.0,4.0,260.0,3
121,7th Phase JP Nagar,1680.0,3.0,112.0,3
122,7th Phase JP Nagar,1515.0,2.0,76.0,3
123,7th Phase JP Nagar,2095.0,3.0,150.0,3
124,7th Phase JP Nagar,1976.0,3.0,145.0,3
125,7th Phase JP Nagar,1600.0,2.0,110.0,3
126,7th Phase JP Nagar,1765.0,3.0,118.0,3
127,7th Phase JP Nagar,1575.0,2.0,110.0,3
128,7th Phase JP Nagar,750.0,1.0,47.0,1
129,7th Phase JP Nagar,1000.0,1.0,60.0,1
130,7th Phase JP Nagar,1680.0,2.0,92.0,3
131,7th Phase JP Nagar,1128.0,2.0,60.0,2
132,7th Phase JP Nagar,1140.0,2.0,57.0,2
133,7th Phase JP Nagar,1530.0,2.0,108.0,2
134,8th Phase JP Nagar,1073.5,2.0,54.005,2
135,8th Phase JP Nagar,1062.0,2.0,42.47,2
136,8th Phase JP Nagar,1098.0,2.0,43.91,2
137,8th Phase JP Nagar,1800.0,3.0,80.0,3
138,8th Phase JP Nagar,2700.0,4.0,130.0,4
139,8th Phase JP Nagar,1080.0,2.0,38.0,2
140,8th Phase JP Nagar,1062.0,2.0,42.47,2
141,8th Phase JP Nagar,2100.0,4.0,92.0,4
142,8th Phase JP Nagar,1035.0,2.0,39.33,2
143,8th Phase JP Nagar,1900.0,4.0,90.0,3
144,8th Phase JP Nagar,1089.0,2.0,43.55,2
145,8th Phase JP Nagar,1605.0,2.0,65.0,3
146,8th Phase JP Nagar,1504.0,2.0,83.0,3
147,8th Phase JP Nagar,2600.0,4.0,115.0,4
148,8th Phase JP Nagar,1089.0,2.0,43.55,2
149,8th Phase JP Nagar,1513.0,2.0,62.0,2
150,8th Phase JP Nagar,1298.0,2.0,59.0,2
151,8th Phase JP Nagar,1006.0,2.0,44.0,2
152,8th Phase JP Nagar,1245.0,2.0,59.0,2
153,8th Phase JP Nagar,1510.0,2.0,80.0,2
154,8th Phase JP Nagar,3300.0,3.0,165.0,3
155,8th Phase JP Nagar,1046.0,2.0,48.0,2
156,8th Phase JP Nagar,1500.0,2.0,55.0,3
157,9th Phase JP Nagar,1005.0,2.0,50.0,2
158,9th Phase JP Nagar,1890.0,2.0,85.0,3
159,9th Phase JP Nagar,1100.0,2.0,65.0,2
160,9th Phase JP Nagar,1035.0,2.0,45.0,2
161,9th Phase JP Nagar,5000.0,4.0,290.0,4
162,9th Phase JP Nagar,1164.0,2.0,56.0,2
163,9th Phase JP Nagar,1005.0,2.0,42.0,2
164,9th Phase JP Nagar,1127.0,2.0,50.0,2
165,9th Phase JP Nagar,1005.0,2.0,43.0,2
166,9th Phase JP Nagar,1466.0,2.0,71.0,2
167,9th Phase JP Nagar,1890.0,2.0,93.0,3
168,9th Phase JP Nagar,1079.0,2.0,60.0,2
169,9th Phase JP Nagar,1480.0,2.0,80.0,2
170,9th Phase JP Nagar,1073.0,2.0,52.36,2
171,9th Phase JP Nagar,1719.3,2.0,88.0,3
172,9th Phase JP Nagar,1780.0,3.0,88.0,3
173,9th Phase JP Nagar,1522.0,3.0,90.0,3
174,9th Phase JP Nagar,1571.0,3.0,65.0,3
175,9th Phase JP Nagar,5000.0,4.0,300.0,4
176,9th Phase JP Nagar,1331.95,2.0,69.0,2
177,AECS Layout,1100.0,2.0,45.0,2
178,AECS Layout,1028.0,2.0,42.0,2
179,AECS Layout,1199.0,2.0,65.0,2
180,AECS Layout,1080.0,2.0,55.0,2
181,AECS Layout,1123.0,2.0,64.0,2
182,AECS Layout,1308.0,2.0,60.0,2
183,AECS Layout,1005.0,2.0,55.0,2
184,AECS Layout,2000.0,3.0,90.0,3
185,Abbigere,765.0,2.0,30.0,1
186,Abbigere,1005.0,2.0,39.59,2
187,Abbigere,1020.0,2.0,41.82,2
188,Abbigere,1130.0,2.0,46.33,2
189,Abbigere,1000.0,2.0,41.0,2
190,Abbigere,1020.0,2.0,40.8,2
191,Akshaya Nagar,1388.0,2.0,57.0,2
192,Akshaya Nagar,1070.0,2.0,54.0,2
193,Akshaya Nagar,1280.0,2.0,58.0,2
194,Akshaya Nagar,1662.0,3.0,85.1,3
195,Akshaya Nagar,1897.0,3.0,120.0,3
196,Akshaya Nagar,1600.0,2.0,65.0,3
197,Akshaya Nagar,1662.0,3.0,85.0,3
198,Akshaya Nagar,1662.0,3.0,85.5,3
199,Akshaya Nagar,1280.0,2.0,60.0,2
200,Akshaya Nagar,1666.0,3.0,95.0,3
201,Akshaya Nagar,1575.0,3.0,90.0,3
202,Akshaya Nagar,1280.0,2.0,60.0,2
203,Akshaya Nagar,1200.0,2.0,50.0,2
204,Akshaya Nagar,1092.0,2.0,60.0,2
205,Akshaya Nagar,1690.0,3.0,85.0,3
206,Akshaya Nagar,1700.0,3.0,80.0,3
207,Akshaya Nagar,1897.0,4.0,93.0,3
208,Akshaya Nagar,1884.0,3.0,98.0,3
209,Akshaya Nagar,1314.0,2.0,68.8,2
210,Akshaya Nagar,1690.0,3.0,85.0,3
211,Akshaya Nagar,1265.0,2.0,67.0,2
212,Akshaya Nagar,1126.0,2.0,55.0,2
213,Akshaya Nagar,2300.0,4.0,102.0,3
214,Akshaya Nagar,1662.0,3.0,90.0,3
215,Akshaya Nagar,1890.0,4.0,100.0,3
216,Akshaya Nagar,2650.0,3.0,125.0,3
217,Akshaya Nagar,1300.0,2.0,54.0,2
218,Akshaya Nagar,1690.0,3.0,85.0,3
219,Akshaya Nagar,1113.0,2.0,52.0,2
220,Akshaya Nagar,1820.0,4.0,95.0,3
221,Akshaya Nagar,1100.0,2.0,48.0,2
222,Akshaya Nagar,1896.0,3.0,102.0,3
223,Akshaya Nagar,1300.0,2.0,66.0,2
224,Akshaya Nagar,1225.0,2.0,68.0,2
225,Akshaya Nagar,1179.0,2.0,51.0,2
226,Akshaya Nagar,1893.0,4.0,95.0,3
227,Ambalipura,1105.0,2.0,75.0,2
228,Ambalipura,1800.0,3.0,110.0,3
229,Ambalipura,1150.0,2.0,80.0,2
230,Ambalipura,1250.0,2.0,66.25,2
231,Ambalipura,1332.0,2.0,79.0,2
232,Ambalipura,1730.0,3.0,120.0,3
233,Ambalipura,3500.0,3.0,198.0,3
234,Ambalipura,1230.0,2.0,66.25,2
235,Ambalipura,1351.0,2.0,77.0,2
236,Ambalipura,2550.0,4.0,149.0,4
237,Ambalipura,1817.0,3.0,102.0,3
238,Ambalipura,2750.0,4.0,142.0,4
239,Ambalipura,1303.0,2.0,80.0,2
240,Ambalipura,1607.0,2.0,112.0,3
241,Ambalipura,770.0,1.0,43.82,1
242,Ambalipura,1060.0,2.0,58.5,2
243,Ambalipura,1650.0,3.0,100.0,3
244,Ambalipura,1607.0,2.0,112.0,3
245,Ambalipura,1198.0,2.0,80.0,2
246,Ambedkar Nagar,1935.0,4.0,130.0,3
247,Ambedkar Nagar,1424.0,2.0,90.0,2
248,Ambedkar Nagar,2225.0,4.0,169.0,3
249,Ambedkar Nagar,1862.0,3.0,120.0,3
250,Ambedkar Nagar,1850.0,4.0,139.0,3
251,Ambedkar Nagar,1936.0,4.0,126.0,3
252,Ambedkar Nagar,1862.0,3.0,119.0,3
253,Ambedkar Nagar,1424.0,2.0,90.0,2
254,Ambedkar Nagar,2150.0,4.0,125.0,3
255,Ambedkar Nagar,3530.0,4.0,290.0,4
256,Ambedkar Nagar,1856.0,3.0,120.0,3
257,Ambedkar Nagar,1852.0,3.0,130.0,3
258,Ambedkar Nagar,1850.0,4.0,120.0,3
259,Ambedkar Nagar,1367.0,2.0,86.0,2
260,Ambedkar Nagar,3565.0,4.0,255.0,4
261,Ambedkar Nagar,1409.0,2.0,95.0,2
262,Ambedkar Nagar,1950.0,4.0,120.0,3
263,Ambedkar Nagar,1921.0,4.0,129.0,3
264,Ambedkar Nagar,1920.0,4.0,121.0,3
265,Ambedkar Nagar,1935.0,4.0,125.0,3
266,Ambedkar Nagar,1852.0,4.0,122.0,3
267,Ambedkar Nagar,1950.0,4.0,120.0,3
268,Ambedkar Nagar,1852.0,3.0,125.0,3
269,Ambedkar Nagar,1850.0,4.0,121.0,3
270,Ambedkar Nagar,1425.0,2.0,94.0,2
271,Ambedkar Nagar,2395.0,4.0,150.0,3
272,Amruthahalli,1200.0,2.0,55.0,2
273,Amruthahalli,1900.0,3.0,135.0,3
274,Amruthahalli,1100.0,2.0,45.0,2
275,Amruthahalli,1200.0,2.0,55.0,2
276,Amruthahalli,1605.0,3.0,65.0,3
277,Amruthahalli,1700.0,3.0,77.0,3
278,Amruthahalli,1200.0,2.0,55.0,2
279,Amruthahalli,1250.0,2.0,79.0,2
280,Amruthahalli,1190.0,2.0,50.0,2
281,Amruthahalli,1202.0,2.0,65.0,2
282,Amruthahalli,1340.0,2.0,75.0,2
283,Amruthahalli,2650.0,4.0,175.0,3
284,Amruthahalli,1025.0,2.0,42.0,2
285,Anandapura,1167.0,2.0,43.76,2
286,Anandapura,1141.0,2.0,42.79,2
287,Anandapura,1576.0,3.0,59.1,3
288,Anandapura,1151.0,2.0,43.1,2
289,Anandapura,1141.0,2.0,42.75,2
290,Anandapura,1151.0,2.0,42.9,2
291,Anandapura,1576.0,3.0,58.0,3
292,Anandapura,1250.0,2.0,45.0,2
293,Anandapura,1151.0,2.0,43.16,2
294,Anandapura,1200.0,2.0,50.0,2
295,Anandapura,1141.0,2.0,50.0,2
296,Anandapura,1576.0,3.0,58.7,3
297,Ananth Nagar,500.0,1.0,14.0,1
298,Ananth Nagar,1100.0,2.0,31.5,2
299,Ananth Nagar,500.0,2.0,14.0,1
300,Ananth Nagar,500.0,1.0,14.0,1
301,Ananth Nagar,1000.0,2.0,29.7,2
302,Ananth Nagar,1200.0,2.0,36.0,2
303,Ananth Nagar,1000.0,2.0,25.0,2
304,Ananth Nagar,1074.0,2.0,26.85,2
305,Ananth Nagar,500.0,1.0,14.0,1
306,Ananth Nagar,1010.0,2.0,38.0,2
307,Anekal,1200.0,1.0,36.0,2
308,Anekal,600.0,1.0,16.5,1
309,Anekal,530.0,1.0,18.0,1
310,Anekal,1800.0,3.0,68.0,3
311,Anekal,1200.0,1.0,36.0,2
312,Anekal,1035.0,2.0,38.3,2
313,Anekal,1200.0,2.0,36.1,2
314,Anekal,1200.0,1.0,36.0,2
315,Anekal,1200.0,1.0,36.0,2
316,Anekal,1200.0,1.0,36.0,2
317,Anekal,1200.0,1.0,36.0,2
318,Anekal,1200.0,1.0,36.0,2
319,Anekal,2400.0,4.0,95.0,3
320,Anekal,1200.0,2.0,36.1,2
321,Anekal,1200.0,2.0,36.1,2
322,Anekal,1140.0,2.0,52.0,2
323,Anjanapura,1070.0,2.0,39.0,2
324,Anjanapura,1500.0,3.0,121.0,3
325,Anjanapura,1070.0,2.0,37.0,2
326,Anjanapura,1843.0,3.0,87.54,3
327,Ardendale,1750.0,3.0,100.0,3
328,Ardendale,3198.0,4.0,200.0,4
329,Ardendale,2422.0,4.0,160.0,4
330,Ardendale,1750.0,3.0,100.0,3
331,Ardendale,3200.0,4.0,205.0,4
332,Ardendale,1728.0,3.0,95.0,3
333,Ardendale,2062.0,3.0,140.0,4
334,Ardendale,1732.46,3.0,92.0,3
335,Ardendale,2062.0,3.0,150.0,4
336,Ardendale,2800.0,4.0,140.0,4
337,Ardendale,1224.0,2.0,70.0,2
338,Ardendale,1777.26,3.0,105.0,3
339,Ardendale,1650.0,3.0,82.0,3
340,Ardendale,2062.0,3.0,140.0,4
341,Ardendale,1650.0,3.0,82.0,3
342,Ardendale,1224.0,2.0,67.0,2
343,Ardendale,1723.0,3.0,95.0,3
344,Ardendale,1777.26,3.0,89.0,3
345,Ardendale,1777.26,3.0,92.0,3
346,Arekere,1740.0,2.0,95.0,3
347,Arekere,1190.0,2.0,55.0,2
348,Arekere,600.0,1.0,28.0,1
349,Arekere,2072.0,3.0,108.0,3
350,Arekere,1100.0,2.0,55.0,2
351,Arekere,2710.0,6.0,142.0,4
352,Arekere,1240.0,2.0,60.0,2
353,Attibele,500.0,1.0,17.0,1
354,Attibele,2168.0,4.0,95.0,4
355,Attibele,1639.0,2.0,40.98,3
356,Attibele,1200.0,2.0,42.0,2
357,Attibele,2400.0,3.0,120.0,3
358,Attibele,1174.0,2.0,29.35,2
359,Attibele,782.0,1.0,19.55,1
360,Attibele,1175.0,2.0,29.38,2
361,Attibele,1000.0,2.0,42.0,2
362,Attibele,550.0,1.0,11.5,1
363,Attibele,1700.0,3.0,65.0,3
364,Attibele,1500.0,3.0,90.0,3
365,Attibele,520.0,1.0,15.0,1
366,BEML Layout,1060.0,2.0,55.0,2
367,BEML Layout,2000.0,3.0,85.0,3
368,BEML Layout,2000.0,2.0,85.0,3
369,BEML Layout,1194.0,2.0,65.0,2
370,BEML Layout,1200.0,2.0,67.0,2
371,BEML Layout,2000.0,3.0,85.0,3
372,BEML Layout,2000.0,3.0,85.0,3
373,BEML Layout,1194.0,2.0,65.0,2
374,BTM 2nd Stage,1850.0,3.0,170.0,3
375,BTM 2nd Stage,1200.0,2.0,80.0,2
376,BTM 2nd Stage,1274.0,2.0,70.0,2
377,BTM 2nd Stage,1070.0,2.0,48.0,2
378,BTM 2nd Stage,1280.0,2.0,80.0,2
379,BTM 2nd Stage,1100.0,2.0,70.0,2
380,BTM 2nd Stage,1000.0,2.0,58.0,2
381,BTM 2nd Stage,2200.0,3.0,220.0,3
382,BTM 2nd Stage,2780.0,4.0,325.0,3
383,BTM 2nd Stage,1147.0,2.0,75.0,2
384,BTM 2nd Stage,1750.0,3.0,172.0,3
385,BTM 2nd Stage,1400.0,2.0,90.0,2
386,BTM 2nd Stage,1200.0,2.0,70.0,2
387,BTM Layout,1150.0,2.0,63.0,2
388,BTM Layout,3300.0,6.0,165.0,6
389,BTM Layout,1776.0,2.0,75.0,3
390,BTM Layout,1020.0,2.0,46.5,2
391,BTM Layout,1600.0,3.0,112.0,3
392,BTM Layout,1540.0,2.0,78.0,3
393,BTM Layout,1196.0,2.0,56.81,2
394,Babusapalaya,1611.0,2.0,66.0,3
395,Babusapalaya,1675.0,3.0,75.0,3
396,Babusapalaya,1141.0,2.0,46.0,2
397,Babusapalaya,1084.0,2.0,58.0,2
398,Babusapalaya,1500.0,2.0,57.0,2
399,Babusapalaya,1050.0,2.0,45.0,2
400,Babusapalaya,1141.0,2.0,45.9,2
401,Babusapalaya,1105.0,2.0,40.0,2
402,Babusapalaya,1305.0,2.0,70.0,2
403,Babusapalaya,1450.0,2.0,55.99,2
404,Babusapalaya,1100.0,2.0,38.0,2
405,Babusapalaya,1061.0,2.0,33.84,2
406,Babusapalaya,1061.0,2.0,38.95,2
407,Babusapalaya,1061.0,2.0,34.0,2
408,Babusapalaya,1245.0,2.0,58.0,2
409,Badavala Nagar,1274.0,2.0,81.0,2
410,Badavala Nagar,1842.0,3.0,115.0,3
411,Badavala Nagar,1274.0,2.0,81.0,2
412,Badavala Nagar,1842.0,3.0,115.0,3
413,Badavala Nagar,1842.0,3.0,115.0,3
414,Badavala Nagar,1842.0,3.0,115.0,3
415,Balagere,1210.0,2.0,80.9,2
416,Balagere,1210.0,2.0,72.0,2
417,Balagere,1205.0,2.0,78.5,2
418,Balagere,790.5,1.0,41.9,1
419,Balagere,1145.0,2.0,65.0,2
420,Balagere,1012.0,2.0,54.59,2
421,Balagere,1020.07,2.0,68.38,2
422,Balagere,1205.47,2.0,81.0,2
423,Balagere,1007.0,2.0,65.0,2
424,Balagere,1205.0,2.0,70.0,2
425,Balagere,1210.0,2.0,74.0,2
426,Balagere,1210.0,2.0,83.0,2
427,Balagere,675.0,1.0,45.0,1
428,Balagere,656.0,1.0,43.0,1
429,Balagere,1012.0,2.0,54.59,2
430,Balagere,1012.0,2.0,64.0,2
431,Balagere,1007.0,2.0,62.0,2
432,Balagere,1007.0,2.0,67.0,2
433,Balagere,1007.0,2.0,66.0,2
434,Balagere,1205.0,2.0,63.86,2
435,Balagere,1012.0,2.0,53.58,2
436,Balagere,645.0,1.0,34.18,1
437,Balagere,1007.0,2.0,53.0,2
438,Balagere,1210.0,2.0,69.0,2
439,Balagere,790.5,1.0,42.295,1
440,Balagere,1012.0,2.0,65.0,2
441,Balagere,656.0,1.0,38.77,1
442,Balagere,645.0,1.0,39.0,1
443,Balagere,645.0,1.0,41.0,1
444,Balagere,1210.0,2.0,82.0,2
445,Balagere,656.0,1.0,34.77,1
446,Balagere,1205.0,2.0,73.87,2
447,Balagere,1012.0,2.0,70.0,2
448,Balagere,1007.0,2.0,68.0,2
449,Balagere,1205.0,2.0,67.0,2
450,Balagere,1205.0,2.0,79.0,2
451,Balagere,1012.0,2.0,68.0,2
452,Banashankari,1077.0,2.0,37.64,2
453,Banashankari,1800.0,3.0,115.0,3
454,Banashankari,1125.0,2.0,63.0,2
455,Banashankari,1310.0,2.0,80.0,2
456,Banashankari,2600.0,4.0,135.0,3
457,Banashankari,1900.0,2.0,170.0,3
458,Banashankari,1260.0,2.0,75.0,2
459,Banashankari,1170.0,2.0,46.79,2
460,Banashankari,2500.0,4.0,95.0,4
461,Banashankari,1330.0,2.0,78.0,2
462,Banashankari,1700.0,3.0,125.0,3
463,Banashankari,1020.0,2.0,40.79,2
464,Banashankari,1600.0,2.0,63.98,2
465,Banashankari,1041.0,2.0,36.44,2
466,Banashankari,2400.0,1.0,200.0,1
467,Banashankari,1390.0,2.0,86.0,2
468,Banashankari,1460.0,2.0,70.0,2
469,Banashankari,1200.0,2.0,60.0,2
470,Banashankari,1290.0,2.0,80.0,2
471,Banashankari,2582.0,5.0,250.0,3
472,Banashankari,1186.0,2.0,65.0,2
473,Banashankari,1650.0,3.0,101.0,3
474,Banashankari,1181.0,2.0,75.0,2
475,Banashankari,1105.0,2.0,90.0,2
476,Banashankari,720.0,1.0,60.0,1
477,Banashankari,1040.0,2.0,45.0,2
478,Banashankari,1330.0,2.0,77.0,2
479,Banashankari,1200.0,2.0,49.0,2
480,Banashankari,1185.0,2.0,67.0,2
481,Banashankari,1000.0,2.0,50.0,2
482,Banashankari,1650.0,3.0,90.75,3
483,Banashankari,1650.0,3.0,101.0,3
484,Banashankari,1310.0,2.0,80.43,2
485,Banashankari,1430.0,2.0,87.8,2
486,Banashankari,1020.0,2.0,42.83,2
487,Banashankari,1540.0,3.0,80.0,3
488,Banashankari,1683.0,3.0,115.0,3
489,Banashankari,1800.0,3.0,125.0,3
490,Banashankari,1175.0,2.0,41.13,2
491,Banashankari,1750.0,2.0,89.0,3
492,Banashankari,1800.0,3.0,175.0,3
493,Banashankari,1450.0,2.0,50.75,2
494,Banashankari,1770.0,3.0,108.0,3
495,Banashankari,1800.0,3.0,125.0,3
496,Banashankari,1100.0,2.0,63.0,2
497,Banashankari,1020.0,2.0,40.79,2
498,Banashankari,1260.0,2.0,75.0,2
499,Banashankari Stage II,1700.0,2.0,150.0,2
500,Banashankari Stage II,1500.0,2.0,120.0,3
501,Banashankari Stage II,1250.0,2.0,110.0,2
502,Banashankari Stage II,2400.0,2.0,300.0,3
503,Banashankari Stage II,1245.0,2.0,125.0,2
504,Banashankari Stage III,1145.0,2.0,58.4,2
505,Banashankari Stage III,1650.0,3.0,118.0,3
506,Banashankari Stage III,2000.0,4.0,100.0,4
507,Banashankari Stage III,1304.0,2.0,111.0,2
508,Banashankari Stage III,3000.0,6.0,150.0,6
509,Banashankari Stage III,1085.0,2.0,50.0,2
510,Banashankari Stage III,1500.0,2.0,100.0,3
511,Banashankari Stage III,2100.0,3.0,147.0,4
512,Banashankari Stage V,1510.0,3.0,47.57,3
513,Banashankari Stage V,1650.0,3.0,51.98,3
514,Banashankari Stage V,1630.0,3.0,51.35,3
515,Banashankari Stage V,1510.0,3.0,47.57,3
516,Banashankari Stage V,1540.0,3.0,48.51,3
517,Banashankari Stage VI,1177.5,2.0,59.935,2
518,Banashankari Stage VI,4800.0,4.0,190.0,4
519,Banashankari Stage VI,1160.0,2.0,59.0,2
520,Banashankari Stage VI,1180.0,2.0,59.47,2
521,Banashankari Stage VI,4800.0,3.0,200.0,4
522,Banaswadi,1184.0,2.0,53.0,2
523,Banaswadi,1145.0,2.0,55.0,2
524,Banaswadi,1250.0,2.0,60.0,2
525,Banaswadi,1365.0,2.0,73.0,2
526,Banaswadi,1222.0,2.0,80.0,2
527,Banaswadi,1200.0,2.0,60.0,2
528,Banaswadi,1600.0,3.0,74.5,3
529,Banaswadi,527.0,1.0,35.0,1
530,Banaswadi,1340.0,2.0,73.0,2
531,Banaswadi,1008.0,2.0,52.0,2
532,Banaswadi,1105.0,2.0,57.0,2
533,Banjara Layout,1200.0,2.0,70.0,2
534,Banjara Layout,1050.0,2.0,64.8,2
535,Banjara Layout,2500.0,4.0,140.0,3
536,Bannerghatta,3012.0,6.0,250.0,4
537,Bannerghatta,1665.0,3.0,110.0,3
